doi,title,repository,publisher,landing_url,commons_url,client_id,publication_year,also_on_hal,hal_publications,hal_ids,match_reasons,object_kind
10.25666/dataosu-2016-07-22-03,"Crystal structure of 4,4-di­bromo-1-(3,4-di­meth­­oxy­phen­yl)-2-aza­buta-1,3-diene-1-carbo­nitrile",International Union of Crystallography,International Union of Crystallography,https://search-data.ubfc.fr/FR-18008901306731-2016-07-22-03_Crystal-structure-of.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-07-22-03,inist.osutheta,2016,False,0,,,other
10.25666/dataosu-2016-08-23-02,"4,4-Bis(4-methyl­phenyl­sulfan­yl)-1,1-diphenyl-2-aza­buta-1,3-diene",International Union of Crystallography,International Union of Crystallography,https://search-data.ubfc.fr/FR-18008901306731-2016-08-23-02_4-4-Bis-4-methyl-phenyl-sulfan-yl-1-1-diphenyl-2-aza-buta-1-3-dien.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-08-23-02,inist.osutheta,2008,False,0,,,other
10.25666/dataosu-2016-08-23-05,Bis{(4-methylthio)phenylthio}methane as assembling ligand for the construction of Cu(I) and Hg(II) coordination polymers. Crystal structures and topological (AIM) analysis of the bonding,Cambridge Crystallographic Data Centre,Cambridge Crystallographic Data Centre,https://search-data.ubfc.fr/FR-18008901306731-2016-08-23-05_Bis-4-methylthio-phenylthio-methane-as.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-08-23-05,inist.osutheta,2016,False,0,,,other
10.25666/dataosu-2016-08-30,ReColNat : Natural History Collections Network,Muséum National d'Histoire Naturelle,Muséum National d'Histoire Naturelle,https://search-data.ubfc.fr/FR-18008901306731-2016-08-30_ReColNat-Natural-History-Collections-Network.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-08-30,inist.osutheta,2015,False,0,,,other
10.25666/dataosu-2016-08-30-02,Mobile temperature measurements of air temperature in Dijon,Laboratoire Biogéosciences,Laboratoire Biogéosciences,https://search-data.ubfc.fr/FR-18008901306731-2016-08-30-02_Mobile-temperature-measurements-of-air.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-08-30-02,inist.osutheta,2016,False,0,,,other
10.25666/dataosu-2016-08-30-04,ISLSCP II Atmospheric Carbon Dioxide Consumption by Continental Erosion,Centre de Formation et de Recherche sur les Environnements Méditerranéens,Centre de Formation et de Recherche sur les Environnements Méditerranéens,https://search-data.ubfc.fr/FR-18008901306731-2016-08-30-04_ISLSCP-II-Atmospheric-Carbon-Dioxide-Consumption.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-08-30-04,inist.osutheta,2011,False,0,,,other
10.25666/dataosu-2016-09-12,EWET : EmsB Website for Echinococcus Typing,Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2016-09-12_EWET-EmsB-Website-for-Echinococcus-Typing.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2016-09-12,inist.osutheta,2017,False,0,,contributor_name,other
10.25666/dataosu-2017-02-06,"Pollen analysis - Morteau (F-25), Moulin Bournez",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-06_Pollen-analysis-Morteau-F-25-Moulin-Bournez.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-06,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-07,"Pollen analysis - Montlebon (Morteau-Montlebon) (F-25), Transects II-6, II-7 et III-7",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-07_Pollen-analysis-Montlebon-Morteau-Montlebon.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-07,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-07-02,"Pollen analysis - Ney (F-39), Varves de Ney, Les Prés des Rousserots",Laboratoire Chrono-environnement (UMR 6249),Laboratoire Chrono-environnement (UMR 6249),https://search-data.ubfc.fr/FR-18008901306731-2017-02-07-02_Pollen-analysis-Ney-F-39-Varves-de-Ney-Les.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-07-02,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-07-05,"Pollen analysis - Morteau (F-25), Stade",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-07-05_Pollen-analysis-Morteau-F-25-Stade.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-07-05,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-07-06,"Pollen analysis - Morteau (F-25), Transect S1",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-07-06_Pollen-analysis-Morteau-F-25-Transect-S1.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-07-06,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-07-07,"Pollen analysis - Morteau (F-25), Transect S2",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-07-07_Pollen-analysis-Morteau-F-25-Transect-S2.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-07-07,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-07-09,"Pollen analysis - Morre (La Vèze) (F-25), La Tourbière (Marais de Saône), 1984",Laboratoire Chrono-environnement (UMR 6249),Laboratoire Chrono-environnement (UMR 6249),https://search-data.ubfc.fr/FR-18008901306731-2017-02-07-09_Pollen-analysis-Morre-La-Veze-F-25-La.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-07-09,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-08-04,"Pollen analysis - Mirebel (F-39), Les Granges Bruant",Laboratoire Chrono-environnement (UMR 6249),Laboratoire Chrono-environnement (UMR 6249),https://search-data.ubfc.fr/FR-18008901306731-2017-02-08-04_Pollen-analysis-Mirebel-F-39-Les-Granges.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-08-04,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-10-02,"Pollen analysis - Montlebon (F-25), La Vigne 2",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-10-02_Pollen-analysis-Montlebon-F-25-La-Vigne-2.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-10-02,inist.osutheta,2017,False,0,,,other
10.25666/dataosu-2017-02-10-03,"Pollen analysis - Montlebon (F-25), Transect S4",Laboratoire Chrono-environnement,Laboratoire Chrono-environnement,https://search-data.ubfc.fr/FR-18008901306731-2017-02-10-03_Pollen-analysis-Montlebon-F-25-Transect-S4.html,https://commons.datacite.org/doi.org/10.25666/dataosu-2017-02-10-03,inist.osutheta,2017,False,0,,,other
